issue_month,total_loans,total_defaults,default_rate
2007-06-01,24,3,0.125
2007-07-01,63,7,0.1111111111111111
2007-08-01,74,20,0.2702702702702703
2007-09-01,53,13,0.24528301886792453
2007-10-01,105,34,0.3238095238095238
2007-11-01,112,34,0.30357142857142855
2007-12-01,172,47,0.27325581395348836
2008-01-01,305,84,0.2754098360655738
2008-02-01,306,61,0.19934640522875818
2008-03-01,402,89,0.22139303482587064
2008-04-01,259,63,0.24324324324324326
2008-05-01,115,25,0.21739130434782608
2008-06-01,124,22,0.1774193548387097
2008-07-01,141,30,0.2127659574468085
2008-08-01,100,12,0.12
2008-09-01,57,10,0.17543859649122806
2008-10-01,122,21,0.1721311475409836
2008-11-01,209,39,0.18660287081339713
2008-12-01,253,40,0.15810276679841898
2009-01-01,269,41,0.1524163568773234
2009-02-01,302,41,0.1357615894039735
2009-03-01,324,41,0.12654320987654322
2009-04-01,333,49,0.14714714714714713
2009-05-01,359,51,0.14206128133704735
2009-06-01,406,58,0.14285714285714285
2009-07-01,411,58,0.1411192214111922
2009-08-01,446,50,0.11210762331838565
2009-09-01,507,66,0.1301775147928994
2009-10-01,604,100,0.16556291390728478
2009-11-01,662,97,0.14652567975830816
2009-12-01,658,71,0.10790273556231003
2010-01-01,662,92,0.13897280966767372
2010-02-01,682,75,0.10997067448680352
2010-03-01,828,87,0.10507246376811594
2010-04-01,912,101,0.11074561403508772
2010-05-01,989,144,0.14560161779575329
2010-06-01,1105,196,0.17737556561085974
2010-07-01,1204,159,0.13205980066445183
2010-08-01,1175,172,0.14638297872340425
2010-09-01,1189,206,0.17325483599663583
2010-10-01,1232,189,0.1534090909090909
2010-11-01,1224,175,0.14297385620915032
2010-12-01,1335,161,0.12059925093632959
2011-01-01,1380,186,0.13478260869565217
2011-02-01,1298,169,0.13020030816640987
2011-03-01,1448,210,0.14502762430939226
2011-04-01,1563,222,0.1420345489443378
2011-05-01,1704,290,0.17018779342723006
2011-06-01,1835,271,0.14768392370572206
2011-07-01,1875,282,0.1504
2011-08-01,1934,271,0.14012409513960702
2011-09-01,2067,308,0.1490082244799226
2011-10-01,2118,313,0.147780925401322
2011-11-01,2232,344,0.15412186379928317
2011-12-01,2267,431,0.1901191001323335
2012-01-01,2602,440,0.16910069177555725
2012-02-01,2560,421,0.164453125
2012-03-01,2914,443,0.15202470830473575
2012-04-01,3230,496,0.15356037151702787
2012-05-01,3400,569,0.1673529411764706
2012-06-01,3817,714,0.18705789887346083
2012-07-01,4627,819,0.17700453857791226
2012-08-01,5419,884,0.1631297287322384
2012-09-01,6087,951,0.15623459832429767
2012-10-01,6263,962,0.15360051093725052
2012-11-01,6382,1029,0.16123472265747416
2012-12-01,6066,916,0.15100560501153973
2013-01-01,6872,1050,0.15279394644935973
2013-02-01,7561,1160,0.1534188599391615
2013-03-01,8273,1200,0.14505016318143357
2013-04-01,9419,1504,0.1596772481155112
2013-05-01,10350,1720,0.16618357487922705
2013-06-01,10899,1761,0.16157445637214424
2013-07-01,11910,1854,0.15566750629722922
2013-08-01,12674,1941,0.15314817737099573
2013-09-01,12987,2052,0.158004158004158
2013-10-01,14129,2217,0.1569113171491259
2013-11-01,14720,2266,0.15394021739130434
2013-12-01,15020,2297,0.15292942743009322
2014-01-01,15628,2474,0.15830560532377783
2014-02-01,15269,2525,0.16536773855524264
2014-03-01,16513,2743,0.16611154847695755
2014-04-01,19071,3314,0.1737716952440879
2014-05-01,19099,3315,0.17356929682182312
2014-06-01,17179,3119,0.1815588800279411
