issue_month,total_loans,total_defaults,default_rate
2007-06-01,24,3,0.125
2007-07-01,63,7,0.1111111111111111
2007-08-01,74,20,0.2702702702702703
2007-09-01,53,13,0.2452830188679245
2007-10-01,105,34,0.3238095238095238
2007-11-01,112,34,0.3035714285714285
2007-12-01,172,47,0.2732558139534883
2008-01-01,305,84,0.2754098360655738
2008-02-01,306,61,0.1993464052287581
2008-03-01,402,89,0.2213930348258706
2008-04-01,259,63,0.2432432432432432
2008-05-01,115,25,0.217391304347826
2008-06-01,124,22,0.1774193548387097
2008-07-01,141,30,0.2127659574468085
2008-08-01,100,12,0.12
2008-09-01,57,10,0.175438596491228
2008-10-01,122,21,0.1721311475409836
2008-11-01,209,39,0.1866028708133971
2008-12-01,253,40,0.1581027667984189
2009-01-01,269,41,0.1524163568773234
2009-02-01,302,41,0.1357615894039735
2009-03-01,324,41,0.1265432098765432
2009-04-01,333,49,0.1471471471471471
2009-05-01,359,51,0.1420612813370473
2009-06-01,406,58,0.1428571428571428
2009-07-01,411,58,0.1411192214111922
2009-08-01,446,50,0.1121076233183856
2009-09-01,507,66,0.1301775147928994
2009-10-01,604,100,0.1655629139072847
2009-11-01,662,97,0.1465256797583081
2009-12-01,658,71,0.10790273556231
2010-01-01,662,92,0.1389728096676737
2010-02-01,682,75,0.1099706744868035
2010-03-01,828,87,0.1050724637681159
2010-04-01,912,101,0.1107456140350877
2010-05-01,989,144,0.1456016177957532
2010-06-01,1105,196,0.1773755656108597
2010-07-01,1204,159,0.1320598006644518
2010-08-01,1175,172,0.1463829787234042
2010-09-01,1189,206,0.1732548359966358
2010-10-01,1232,189,0.1534090909090909
2010-11-01,1224,175,0.1429738562091503
2010-12-01,1335,161,0.1205992509363295
2011-01-01,1380,186,0.1347826086956521
2011-02-01,1298,169,0.1302003081664098
2011-03-01,1448,210,0.1450276243093922
2011-04-01,1563,222,0.1420345489443378
2011-05-01,1704,290,0.17018779342723
2011-06-01,1835,271,0.147683923705722
2011-07-01,1875,282,0.1504
2011-08-01,1934,271,0.140124095139607
2011-09-01,2067,308,0.1490082244799226
2011-10-01,2118,313,0.147780925401322
2011-11-01,2232,344,0.1541218637992831
2011-12-01,2267,431,0.1901191001323335
2012-01-01,2602,440,0.1691006917755572
2012-02-01,2560,421,0.164453125
2012-03-01,2914,443,0.1520247083047357
2012-04-01,3230,496,0.1535603715170278
2012-05-01,3400,569,0.1673529411764706
2012-06-01,3817,714,0.1870578988734608
2012-07-01,4627,819,0.1770045385779122
2012-08-01,5419,884,0.1631297287322384
2012-09-01,6087,951,0.1562345983242976
2012-10-01,6263,962,0.1536005109372505
2012-11-01,6382,1029,0.1612347226574741
2012-12-01,6066,916,0.1510056050115397
2013-01-01,6872,1050,0.1527939464493597
2013-02-01,7561,1160,0.1534188599391615
2013-03-01,8273,1200,0.1450501631814335
2013-04-01,9419,1504,0.1596772481155112
2013-05-01,10350,1720,0.166183574879227
2013-06-01,10899,1761,0.1615744563721442
2013-07-01,11910,1854,0.1556675062972292
2013-08-01,12674,1941,0.1531481773709957
2013-09-01,12987,2052,0.158004158004158
2013-10-01,14129,2217,0.1569113171491259
2013-11-01,14720,2266,0.1539402173913043
2013-12-01,15020,2297,0.1529294274300932
2014-01-01,15628,2474,0.1583056053237778
2014-02-01,15269,2525,0.1653677385552426
2014-03-01,16513,2743,0.1661115484769575
2014-04-01,19071,3314,0.1737716952440879
2014-05-01,19099,3315,0.1735692968218231
2014-06-01,17179,3119,0.1815588800279411
2014-07-01,29306,5158,0.1760049136695557
2014-08-01,18814,3332,0.177102157967471
2014-09-01,10606,1873,0.1765981519894399
2014-10-01,38783,7081,0.1825799963901709
2014-11-01,25054,4401,0.1756605731619701
2014-12-01,10307,1721,0.1669739012321723
2015-01-01,35107,6435,0.183296778420258
2015-02-01,23770,4190,0.1762726125368111
2015-03-01,25400,4758,0.1873228346456693
2015-04-01,35427,6484,0.1830242470432156
2015-05-01,31913,5845,0.1831542004825619
2015-06-01,28485,5264,0.1847990170265051
2015-07-01,45962,8259,0.1796919194116879
2015-08-01,35886,6283,0.1750822047595162
2015-09-01,28641,5138,0.1793931776125135
2015-10-01,48631,8128,0.167136188850733
2015-11-01,37530,6459,0.1721023181454836
2015-12-01,44343,8032,0.1811334370701125
2016-01-01,32366,5393,0.1666254711734536
2016-02-01,39529,6627,0.1676490677730274
2016-03-01,61992,10430,0.1682475158084914
2016-04-01,36432,6052,0.1661176987263943
2016-05-01,28403,4663,0.1641727986480301
2016-06-01,33019,4944,0.1497319725006814
2016-07-01,34696,5628,0.1622089001614018
2016-08-01,36280,5672,0.1563395810363836
2016-09-01,28144,4083,0.1450753268902785
2016-10-01,32772,4102,0.1251678261930916
2016-11-01,34591,4435,0.128212540834321
2016-12-01,36183,4650,0.128513390266147
